u,v,w,Y
298.15,268.15,2000,-944.826751867824
298.15,268.15,2200,-1034.6839658947554
298.15,268.15,2400,-1123.690166715173
298.15,268.15,2600,-1211.8446360792104
298.15,268.15,2800,-1299.1468757506177
298.15,268.15,3000,-1385.5965204723798
298.15,268.15,3200,-1471.1933031745077
298.15,268.15,3400,-1555.9370284425406
298.15,268.15,3600,-1639.8277435425941
298.15,268.15,3800,-1722.865358561829
298.15,268.15,4000,-1805.0202561170222
298.15,268.15,4200,-1886.296555572492
298.15,268.15,4400,-1962.6015153038463
298.15,268.15,4600,-2046.4882813588033
298.15,268.15,4800,-2125.2628690684483
298.15,270.15,2000,-1010.0541569527186
298.15,270.15,2200,-1105.8213862913499
298.15,270.15,2400,-1200.626942681339
298.15,270.15,2600,-1294.470344746525
298.15,270.15,2800,-1387.3512600240526
298.15,270.15,3000,-1479.2694750270325
298.15,270.15,3200,-1570.0488833602092
298.15,270.15,3400,-1660.2175482897928
298.15,270.15,3600,-1749.247956371019
298.15,270.15,3800,-1837.3158743603651
298.15,270.15,4000,-1924.4218705970238
298.15,270.15,4200,-2010.5662081422356
298.15,270.15,4400,-2095.749352401581
298.15,270.15,4600,-2179.971815607569
298.15,270.15,4800,-2263.23414142386
298.15,272.15,2000,-1078.631915829334
298.15,272.15,2200,-1180.57832854413
298.15,272.15,2400,-1281.4404957254044
298.15,272.15,2600,-1381.2181332062091
298.15,272.15,2800,-1479.910982662302
298.15,272.15,3000,-1577.4196676594895
298.15,272.15,3200,-1674.0428470309225
298.15,272.15,3400,-1769.4826808131463
298.15,272.15,3600,-1863.839300789317
298.15,272.15,3800,-1957.112227709912
298.15,272.15,4000,-2049.3025736826694
298.15,272.15,4200,-2140.4110183574353
298.15,272.15,4400,-2230.438308503603
298.15,272.15,4600,-2319.3852495721594
298.15,272.15,4800,-2407.2526985349145
298.15,274.15,2000,-1150.6771299877184
298.15,274.15,2200,-1259.077376107941
298.15,274.15,2400,-1366.257696483718
298.15,274.15,2600,-1471.8557521171488
298.15,274.15,2800,-1576.9584102014262
298.15,274.15,3000,-1680.4795626727073
298.15,274.15,3200,-1782.7817963869666
298.15,274.15,3400,-1883.8656194409205
298.15,274.15,3600,-1983.7319022406411
